Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Engagement_Score,Contactability_Score,Lead_Score
2,10,0,0,1,0.0,0,0.0,3,36,8,7,5,1,0,0,0,0,0,0,0,0,3,1,0,0,2,1,15.0,20.0,0,0,2,0.0,1,0.9124090571228841
1,11,0,0,1,5.0,1216,2.5,5,2,10,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,15.0,0,1,4,6080.0,1,0.9811718730626522
0,6,0,0,1,0.0,0,0.0,14,36,5,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,1,2,16.0,16.0,0,0,13,0.0,1,0.9805064689219583
2,10,0,0,1,3.0,972,2.0,13,36,6,7,6,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,17.0,0,0,8,2916.0,1,0.9679372111756916
2,10,0,0,1,3.0,781,2.0,13,36,18,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,20.0,0,0,8,2343.0,1,0.9486299153094332
1,3,0,0,1,4.0,1226,4.0,5,12,5,8,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,13.0,20.0,0,0,4,4904.0,1,0.9451897499991335
2,15,0,0,1,0.0,0,0.0,5,36,8,7,5,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,15.0,18.0,0,0,8,0.0,1,0.9541810207117243
1,7,0,0,1,4.0,1378,4.0,8,12,8,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,17.0,0,0,8,5512.0,1,0.9558358094745709
1,3,0,0,1,6.0,274,2.0,5,12,11,10,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,18.0,0,0,4,1644.0,1,0.8950776415145111
1,3,0,0,1,9.0,1289,2.25,5,12,9,7,6,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,15.0,17.0,0,1,4,11601.0,1,0.9477453894807017
1,3,0,0,1,5.0,472,5.0,8,12,11,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,18.0,0,1,7,2360.0,1,0.8887686719499698
1,1,1,0,1,4.0,1354,4.0,15,12,2,3,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,18.0,0,1,14,5416.0,0,0.9431503391859004
1,7,0,0,1,5.0,1102,5.0,5,12,8,4,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,18.0,0,1,4,5510.0,1,0.9532437570353907
0,7,0,0,1,5.0,1354,2.5,5,12,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,14.0,15.0,0,0,8,6770.0,1,0.9594752395411088
0,11,0,0,1,3.0,1561,1.5,8,12,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,13.0,13.0,0,0,8,4683.0,1,0.9168390885642812
1,3,0,0,1,10.0,1128,1.43,5,12,11,10,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,15.0,20.0,0,1,4,11280.0,1,0.9826719072331704
1,3,0,0,1,2.0,1099,2.0,12,12,16,9,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,18.0,0,0,8,2198.0,1,0.9620404250192847
0,7,0,0,0,11.0,220,11.0,10,12,13,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,16.0,15.0,0,1,8,2420.0,1,0.7784483584874309
1,3,0,0,1,8.0,235,8.0,5,12,11,5,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,15.0,20.0,0,0,8,1880.0,1,0.8622769028472085
1,3,0,0,1,9.0,1468,9.0,10,12,3,4,5,1,0,0,0,0,0,0,0,0,20,1,0,0,1,1,16.0,20.0,0,0,8,13212.0,1,0.9466523671403668
1,1,0,0,1,2.0,107,2.0,5,12,3,4,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,18.0,0,0,4,214.0,1,0.876239096064392
2,10,0,0,1,0.0,0,0.0,12,36,1,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,19.0,0,0,8,0.0,1,0.9802576798491469
2,15,0,0,1,0.0,0,0.0,12,36,16,7,5,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,15.0,15.0,0,0,8,0.0,1,0.9603242276908992
2,10,0,0,1,0.0,0,0.0,5,36,13,7,6,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,14.0,19.0,0,0,4,0.0,1,0.9578555973740569
2,15,0,0,1,0.0,0,0.0,9,36,16,7,5,1,0,0,0,0,0,0,0,0,3,4,0,0,1,2,16.0,15.0,0,0,9,0.0,1,0.8295912609339139
1,3,0,0,1,4.0,1357,4.0,12,12,9,4,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,14.0,0,0,8,5428.0,1,0.9677540446224956
2,10,0,0,1,1.0,990,1.0,10,36,11,7,4,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,20.0,0,0,10,990.0,1,0.9630610400705665
1,3,0,0,1,4.0,746,4.0,5,12,8,9,6,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,15.0,19.0,0,0,4,2984.0,1,0.9866351040041288
2,15,0,0,1,0.0,0,0.0,12,36,16,7,5,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,15.0,15.0,0,0,8,0.0,1,0.9603242276908992
1,3,0,0,1,3.0,267,3.0,12,12,5,10,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,17.0,0,0,8,801.0,1,0.8660804738453
2,10,0,0,1,3.0,205,2.0,13,36,5,7,6,1,0,0,0,0,0,0,0,0,3,0,0,0,2,1,14.0,18.0,0,0,8,615.0,1,0.919408490967368
1,7,0,0,1,5.0,1250,5.0,5,12,4,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,13.0,0,1,4,6250.0,1,0.982266204848542
2,10,0,0,1,0.0,0,0.0,5,36,3,7,5,1,0,0,0,0,0,0,0,0,11,0,0,0,2,1,15.0,19.0,0,0,4,0.0,1,0.9117928122914012
2,10,0,0,1,0.0,0,0.0,5,36,8,7,5,1,0,0,0,0,0,0,0,0,3,1,0,0,2,1,15.0,19.0,0,0,8,0.0,1,0.91063677824091
0,6,0,0,1,0.0,0,0.0,9,36,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,16.0,14.0,0,0,8,0.0,1,0.7687168124927308
2,10,0,0,1,0.0,0,0.0,5,36,5,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,20.0,0,0,4,0.0,1,0.9581311959988865
1,1,0,0,1,5.0,1491,2.5,5,12,11,7,6,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,15.0,18.0,0,1,4,7455.0,1,0.9821956383054236
1,1,0,0,1,4.0,1385,4.0,5,26,18,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,17.0,0,1,4,5540.0,1,0.9536218251919917
2,15,0,0,1,0.0,0,0.0,5,36,16,7,5,1,0,0,0,0,0,0,0,0,0,4,0,0,2,2,14.0,15.0,0,0,4,0.0,1,0.9103066697630736
2,10,0,0,1,0.0,0,0.0,5,36,7,7,5,1,0,0,0,0,0,0,0,0,3,1,0,0,2,2,15.0,16.0,0,0,8,0.0,1,0.873137612559164
0,3,0,0,1,4.0,913,1.33,5,35,16,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,2,14.0,16.0,0,0,8,3652.0,1,0.9488253320285256
1,1,0,0,1,2.0,1012,2.0,7,12,5,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,2,1,13.0,18.0,0,1,8,2024.0,1,0.7098007829714135
0,6,0,0,1,0.0,0,0.0,5,36,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,15.0,0,0,8,0.0,1,0.794829483755736
1,7,0,0,1,3.0,829,3.0,5,12,12,7,6,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,17.0,0,1,4,2487.0,1,0.9811333451443411
1,3,0,0,1,3.0,1208,3.0,9,12,16,4,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,18.0,0,0,8,3624.0,1,0.9623278259013043
0,3,0,0,1,3.0,1712,3.0,7,12,8,9,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,14.0,17.0,0,0,8,5136.0,1,0.9556088940924606
0,7,0,0,1,9.0,1125,9.0,5,12,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,15.0,15.0,0,0,4,10125.0,1,0.9596631963838652
1,7,0,0,1,13.0,373,6.5,5,12,4,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,1,2,17.0,13.0,0,1,4,4849.0,1,0.8058932411045013
0,7,0,0,1,6.0,1779,6.0,5,12,19,7,5,1,0,0,0,0,0,0,0,0,20,1,0,0,2,2,15.0,16.0,0,1,4,10674.0,1,0.9566018745437853
0,6,0,0,1,5.0,1387,1.67,5,12,1,7,5,1,0,0,0,0,0,0,0,0,20,0,0,0,2,1,14.0,17.0,0,1,4,6935.0,1,0.9670863118137532
0,3,0,0,1,3.0,1292,3.0,5,12,16,7,5,1,0,0,0,0,0,0,0,0,20,2,0,0,2,2,14.0,15.0,0,0,8,3876.0,1,0.9498582858594825
1,3,0,0,1,9.0,888,9.0,5,12,5,7,4,1,0,0,0,0,0,0,0,0,20,2,0,0,2,1,15.0,18.0,0,1,4,7992.0,1,0.96176315973828
0,6,0,0,1,7.0,628,3.5,5,12,1,4,4,1,0,0,0,0,0,0,0,0,20,1,0,0,2,1,14.0,18.0,0,0,4,4396.0,1,0.9532834593281982
